Sample,Si.WDXRF,Ti.WDXRF,Al.WDXRF,Fe.WDXRF,Mn.WDXRF,Mg.WDXRF,Ca.WDXRF,K.WDXRF,P.WDXRF,S.WDXRF,V.WDXRF,Cr.WDXRF,Ni.WDXRF,Cu.WDXRF,Zn.WDXRF,Rb.WDXRF,Sr.WDXRF,Y.WDXRF,Zr.WDXRF,Nb.WDXRF,Ba.WDXRF,Ce.WDXRF,Pb.WDXRF,Th.WDXRF
H006,292526,3537,72612,35664,767,13628,25300,24323,3273,204,107,92,44,22,90,118,169,27,178,14,622,61,27,15
H014,237414,4077,80339,43217,976,17910,94197,25237,698,1163,111,155,95,33,104,148,369,27,127,15,350,63,26,17
H045,211892,2698,47896,25455,651,17247,166166,12452,1615,959,52,67,27,18,59,127,301,25,189,12,392,43,6,13
H047,249240,4257,85578,35944,542,15136,80117,23244,916,1826,116,110,56,24,95,141,631,26,154,15,515,59,27,14
H052,301127,3837,78433,42028,2548,12905,16152,23576,1440,122,109,103,62,28,99,134,134,29,194,16,380,54,30,15
H053,300285,3717,78698,40280,3307,12905,16867,23742,786,148,103,98,63,27,104,142,136,27,189,16,469,68,29,15
H056,334736,8153,86637,49371,472,2593,4931,12784,524,28,162,227,112,20,87,106,70,27,301,33,214,62,65,15
H057,240639,2338,45409,21329,589,10432,120712,15524,1615,463,43,53,23,15,52,78,276,21,171,10,381,43,14,9
H058,348432,3357,61127,28811,209,9468,16009,21003,480,63,71,84,27,10,60,110,111,28,244,15,392,58,26,12
H060,261674,2638,57634,23986,589,11940,69111,18429,1222,251,80,87,41,21,62,98,218,18,115,9,227,38,18,11
H066,346655,3897,61233,32028,194,6995,14079,16686,349,57,80,89,30,10,59,100,96,29,283,16,291,57,30,15
H071,315664,3657,65732,33986,418,11819,29946,22331,786,120,78,88,32,9,68,121,133,30,241,16,465,60,28,16
H076,231618,3837,75628,39301,1348,17910,132790,21418,1222,1273,122,143,89,198,148,127,440,28,118,14,378,51,25,19
H077,291217,2818,78698,42657,2246,7478,15795,17267,2313,103,91,85,44,14,66,133,185,33,216,25,1180,62,21,21
H078,320525,2458,66367,25664,465,5729,13365,18595,1877,180,57,70,24,12,49,109,165,23,241,19,1011,50,19,18
H079,304586,2818,75364,35874,635,6573,6790,22746,2662,123,81,81,36,91,68,108,96,25,198,18,400,58,25,17
H087,280886,4317,90818,48601,1015,19779,19940,31961,829,139,131,114,62,21,111,162,125,37,198,17,406,65,33,21
H088,335998,4317,89177,26573,132,6271,4288,28972,218,64,104,98,26,24,66,289,96,36,216,16,121,15,25,19
H089,317534,3897,96110,27343,186,12362,8219,30467,524,97,109,112,47,17,87,214,131,36,244,19,567,56,29,21
H092,312158,4976,81344,27273,480,22312,35091,25984,786,142,108,128,64,27,110,145,169,32,223,18,378,63,32,20
H095,339176,9652,91294,24266,132,2593,7433,9547,480,98,140,217,54,20,40,78,100,30,358,41,226,73,27,19
H100,266536,3417,68854,32238,774,10674,71970,18429,1920,614,109,91,43,31,95,112,513,26,147,12,791,47,27,16
H102,225307,3537,67902,35175,968,16644,120354,19758,698,1750,104,117,73,39,84,109,344,25,113,12,413,45,20,17
H111,288973,4676,96322,53776,1293,17789,7790,31961,742,95,135,124,69,20,120,179,116,40,214,20,412,81,36,21
H112,233815,4017,76952,40699,1007,18453,115066,12286,1353,467,126,148,88,27,72,158,431,29,133,14,402,48,11,18
H114,328519,9832,134321,5664,124,2412,3359,13781,393,51,103,188,50,20,36,108,105,39,292,31,277,97,33,25
H124,307016,11031,118656,19580,379,2231,9934,13448,1615,78,146,307,74,40,77,76,111,26,321,50,590,110,26,20
H125,291030,7374,131358,22448,186,7478,8433,21501,524,95,213,177,39,35,58,164,145,29,199,27,297,76,39,22
H126,289581,8453,144324,21049,178,6935,5217,18512,524,67,207,203,42,28,82,170,144,29,221,33,284,76,42,25
H127,305474,12110,120561,28252,658,3558,8362,15026,611,143,159,216,66,21,56,100,250,32,289,57,470,103,25,21
H138,179685,3237,60545,35245,2145,23518,165237,16603,1397,615,87,83,43,16,72,92,360,28,146,12,398,51,25,16
H139,335063,6415,117968,22657,85,3075,3502,10128,349,49,93,85,20,12,39,64,72,21,374,19,252,37,23,19
