"","Sample","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","K2O","P2O5","Rb","Sr"
"1","H006",70.1,0.7,13.3,5.9,0.1,1.9,3.8,3.4,0.8,117,163
"2","H045",56.6,0.5,10.1,3.8,0.1,2.8,24.3,1.4,0.4,141,295
"3","H047",60.7,0.6,16.2,4.9,0.1,2.5,12,2.8,0.2,138,658
"4","H052",69,0.7,15.9,6.1,0.2,2.3,2.4,3.1,0.4,138,135
"5","H053",70.6,0.7,15.8,5.5,0.1,2,2.1,3,0.1,141,134
"6","H056",70.8,1.3,16.8,7.3,0.1,0.7,1,1.9,0.1,118,78
"7","H057",60.1,0.5,8.6,3.4,0.1,1.4,23.4,2.1,0.5,77,264
"8","H058",72.1,0.6,13.9,4.4,0,2.5,3.9,2.4,0.1,107,109
"9","H060",66,0.6,11.3,4.1,0.1,1.3,13.6,2.9,0.2,89,225
"10","H066",75.5,0.7,13.2,5,0,1.3,2.1,2.2,0.1,100,97
"11","H076",56.6,0.5,15.2,5,0.1,2.7,16.8,2.8,0.3,125,438
"12","H077",70.3,0.7,15.2,6.7,0.2,1.5,2.5,2.2,0.8,135,189
"13","H078",74.6,0.6,14,4.3,0.1,1.4,2.2,2.4,0.4,117,143
"14","H079",71.5,0.8,14.4,7.5,0.1,1.1,0.9,3.2,0.5,104,71
"15","H087",63.2,0.7,17.8,7.2,0.1,3,3.7,3.8,0.4,156,142
"16","H088",71.4,0.7,17.8,3.5,0,1.8,1,3.6,0.1,280,99
"17","H089",68.3,0.6,18.7,4.1,0,1.5,2.7,3.6,0.4,225,140
"18","H092",66.3,0.6,17.2,3.9,0.1,3.9,4.9,2.9,0.2,144,170
"19","H095",74.3,1.7,17.1,3.9,0,0.6,0.9,1.3,0.2,82,105
"20","H100",63.9,0.7,14.2,5.1,0.1,1.9,11.1,2.6,0.4,112,480
"21","H102",59.5,0.5,13.3,4.8,0.1,2.8,16.4,2.5,0.1,108,339
"22","H111",63.8,0.8,17.5,6.9,0.1,3.2,4.1,3.5,0.2,172,138
"23","H112",59.5,0.7,15.7,5.9,0.1,3.1,13.2,1.6,0.3,162,429
"24","H114",70.2,1.1,22.5,1.5,0,0.5,2.4,1.7,0.2,115,117
"25","H124",70.2,2.1,20.4,3.2,0,0.7,1.2,1.9,0.4,72,95
"26","H125",66.6,1.2,24.4,3.1,0,1.1,1,2.4,0.2,155,147
"27","H126",66.6,1.3,24.3,3.1,0,1.5,0.8,2.2,0.2,175,141
"28","H127",68.7,2.2,20.6,4.7,0.1,0.6,1,1.9,0.2,97,294
"29","H138",54.1,0.5,12.6,4.3,0.1,3.8,21.8,2.5,0.2,83,317
"30","H139",71.1,1.1,22.3,3.5,0,0.3,0.5,1.1,0.1,63,77
